Run, Group_size, b_1, b_2, d_1, d_2, K_1_1, K_1_2, K_2_1, K_2_2, T_0, T_1, T_2, T_3, T_4, T_5, T_6, T_7, T_8, T_9, T_10, T_11, T_12, T_13, T_14, T_15, T_16, T_17, T_18, T_19, T_20, T_21, T_22, T_23, T_24, T_25, T_26, T_27, T_28, T_29, T_30, T_31, T_32, T_33, T_34, T_35, T_36, T_37, T_38, T_39, T_40, T_41, T_42, T_43, T_44, T_45, T_46, T_47, T_48, T_49, T_50, T_51, T_52, T_53, T_54, T_55, T_56, T_57, T_58, T_59, T_60, T_61, T_62, T_63, T_64, T_65, T_66, T_67, T_68, T_69, T_70, T_71, T_72, T_73, T_74, T_75, T_76, T_77, T_78, T_79, T_80, T_81, T_82, T_83, T_84, T_85, T_86, T_87, T_88, T_89, T_90, T_91, T_92, T_93, T_94, T_95, T_96, T_97, T_98, T_99, dummy
-1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0, 1.1, 1.2000000000000002, 1.3, 1.4000000000000001, 1.5, 1.6, 1.7000000000000002, 1.8, 1.9000000000000001, 2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5, 2.6, 2.7, 2.8000000000000003, 2.9000000000000004, 3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5, 3.6, 3.7, 3.8000000000000003, 3.9000000000000004, 4.0, 4.1000000000000005, 4.2, 4.3, 4.4, 4.5, 4.6000000000000005, 4.7, 4.800000000000001, 4.9, 5.0, 5.1000000000000005, 5.2, 5.300000000000001, 5.4, 5.5, 5.6000000000000005, 5.7, 5.800000000000001, 5.9, 6.0, 6.1000000000000005, 6.2, 6.300000000000001, 6.4, 6.5, 6.6000000000000005, 6.7, 6.800000000000001, 6.9, 7.0, 7.1000000000000005, 7.2, 7.300000000000001, 7.4, 7.5, 7.6000000000000005, 7.7, 7.800000000000001, 7.9, 8.0, 8.1, 8.200000000000001, 8.3, 8.4, 8.5, 8.6, 8.700000000000001, 8.8, 8.9, 9.0, 9.1, 9.200000000000001, 9.3, 9.4, 9.5, 9.600000000000001, 9.700000000000001, 9.8, 9.9, -1
0, 1, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 0.5030164976387184, 0.5551145425702848, 0.6004428152603802, 0.6403168208009847, 0.6757759021955007, 0.7076481755446544, 0.7365589545441215, 0.7630014612219498, 0.7873360013404287, 0.8098438697335999, 0.8307371030380046, 0.85016950771625, 0.8682777487259574, 0.8851524404048913, 0.9008771385783468, 0.9155304922188683, 0.9291653997781015, 0.9418392740512112, 0.9536141672252902, 0.9645343352878349, 0.9746446994497313, 0.9839981690803917, 0.9926445846634434, 1.000621359374621, 1.0079694710118923, 1.014734714915979, 1.0209620550665077, 1.0266839383949087, 1.0319333971326696, 1.036745789285153, 1.0411587178949568, 1.0452045610527014, 1.0489072353734314, 1.0522915025348603, 1.0553830224297107, 1.0582083531657147, 1.0607929948766457, 1.0631539561806365, 1.065307277426117, 1.067269397453336, 1.069057057232592, 1.0706872998642323, 1.072176587081237, 1.0735353123813658, 1.0747726159289182, 1.0758979609171242, 1.0769209774491204, 1.0778514625379483, 1.078699380106555, 1.0794741448208867, 1.08018074659627, 1.0808235042624577, 1.0814070765482235, 1.0819363622962719, 1.0824165004632382, 1.0828528701196876, 1.0832510904501162, 1.0836163017498377, 1.083950045810545, 1.0842533927777622, 1.0845278943197914, 1.0847755517979716, 1.0849988162666782, 1.0852005884733242, 1.0853842188583587, 1.0855535075552674, 1.085711867570452, 1.0858583879752137, 1.0859912832444796, 1.0861097379550144, 1.0862139091597298, 1.0863049263876834, 1.086384891644079, 1.0864568794102665, 1.0865249366437426, 1.0865936533354663, 1.0866601986317825, 1.0867204346114756, 1.086772645347865, 1.0868164821277024, 1.0868529634511712, 1.0868844750318862, 1.0869147697968942, 1.08694800600363, 1.0869806819040764, 1.0870099177400294, 1.087034549661595, 1.0870543762045228, 1.0870701582902074, 1.0870836192256872, 1.0870974447036452, 1.0871143071526739, 1.087131698799142, 1.087147226866322, 1.087159550327911, 1.0871681978061618, 1.0871735675718825, 1.087176927544437, 1.0871804152917446, 1.08718703803028, -1
0, 2, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 0.6927932564064833, 0.7136024700747823, 0.7367597466311531, 0.7614827605656846, 0.7871480317224079, 0.81325247249325, 0.839402561401064, 0.8652825928256607, 0.8906515040768641, 0.915320540801905, 0.9391478033043867, 0.9620319815298104, 0.983896554983692, 1.0046975593605116, 1.0244082484353445, 1.0430170077202823, 1.060531962411995, 1.0769690201987001, 1.0923508945257319, 1.1067121279770948, 1.120091485085838, 1.1325289157278073, 1.1440679815961414, 1.1547568571880988, 1.164642822040892, 1.1737717120556102, 1.1821891426346944, 1.1899422143304945, 1.1970758650340245, 1.203632532008333, 1.2096521756223038, 1.2151738779913863, 1.220235485181253, 1.2248721604549404, 1.2291166731790297, 1.2329993988236443, 1.2365488231348294, 1.2397924574902381, 1.242755260211283, 1.24546039833854, 1.2479292968581284, 1.2501816387017117, 1.2522356098634202, 1.2541085638361302, 1.2558158245934026, 1.2573715623454176, 1.2587888974742494, 1.2600799005338674, 1.2612555922501358, 1.2623261133149233, 1.2633010145937773, 1.2641885366334793, 1.2649962947509519, 1.2657313394383636, 1.2664001563631304, 1.267008666367914, 1.2675622254706242, 1.2680657289555988, 1.2685238162474362, 1.268940583687534, 1.269319778771827, 1.2696648123330059, 1.2699787585405191, 1.2702643549005725, 1.2705240022561282, 1.270759764786906, 1.2709734188014918, 1.271167216084862, 1.271343543189903, 1.2715044223688885, 1.2716515081257767, 1.271786087216211, 1.2719090786475207, 1.2720210336787197, 1.2721221358205068, 1.2722123059833097, 1.2722932152010618, 1.2723668641318016, 1.2724345552730598, 1.2724971352894732, 1.2725549950127846, 1.272608069441843, 1.2726558377426038, 1.2726976067594478, 1.2727348754344676, 1.2727688986749544, 1.2728003963118948, 1.2728297774377757, 1.2728571404065836, 1.2728822728338045, 1.272904651596424, 1.2729237329645318, 1.2729404791157595, 1.2729557884593736, 1.2729702341311326, 1.2729841188496815, 1.2729974749165536, 1.2730100642161684, 1.2730213782158333, 1.2730306379657435, -1
1, 1, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 0.7152537249927763, 0.6682661534417015, 0.6402528369538489, 0.6261603972662293, 0.6223702267008291, 0.6262121255375933, 0.6356670123290545, 0.6492093177972402, 0.6656450290685555, 0.6840656552615605, 0.7037446082856889, 0.7241344374981538, 0.7447922085872184, 0.7653882713294797, 0.7856652994000162, 0.8054233110228107, 0.8245262988152553, 0.8428664880632737, 0.8603710502331621, 0.8769998946460147, 0.8927277736244046, 0.9075462372268188, 0.9214625591108189, 0.9344898313601316, 0.9466518192111469, 0.9579830641882083, 0.9685209271772367, 0.9782948885493129, 0.9873400403103328, 0.99569922019258, 1.0034218420452528, 1.0105454666834723, 1.0171022675673085, 1.0231285488528958, 1.0286639368433874, 1.0337497800604454, 1.0384164250977383, 1.0426908750725985, 1.0466017613062106, 1.050179106686771, 1.053454087206625, 1.0564511344641505, 1.0591888332525676, 1.061686584387794, 1.0639642543526837, 1.066042175297028, 1.0679407738924946, 1.069674508477215, 1.0712546973724648, 1.0726931357304301, 1.0740018054952984, 1.0751928754032596, 1.076278700982505, 1.077270627539367, 1.0781749372640461, 1.078997634660703, 1.079744986987338, 1.080423459427457, 1.081039715090074, 1.0816006150097082, 1.082113172522407, 1.0825819185976144, 1.083008832941406, 1.0833963291602862, 1.0837471706182145, 1.0840644704366067, 1.0843516914943345, 1.084612646427725, 1.0848514976305617, 1.0850722490747933, 1.0852753147045602, 1.0854599659716724, 1.0856261875861293, 1.0857746776971622, 1.0859068478932332, 1.0860248232020369, 1.086131442090499, 1.0862302564647772, 1.0863252588039003, 1.086415301034892, 1.0864973161383595, 1.086569859422673, 1.0866326191981444, 1.086686416777029, 1.0867332064735238, 1.0867760756037683, 1.0868192440862758, 1.0868636570448882, 1.0869050273417158, 1.0869412312746336, 1.086971278319588, 1.0869953111305954, 1.087014605539744, 1.0870315705571927, 1.0870497483711705, 1.0870710381049176, 1.087090118752682, 1.0871067388736018, 1.0871212917182154, 1.087134373211308, -1
1, 2, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 0.34488082784579915, 0.40171567320866775, 0.45228042329477747, 0.4981732081388277, 0.5405396401577995, 0.580201871605675, 0.6177468584730292, 0.6535778514246022, 0.6879726439682361, 0.7211038719742535, 0.7530802808376631, 0.7839523998034813, 0.8137429955523393, 0.8424472323398864, 0.8700497566932318, 0.8965313338564926, 0.9218677516875928, 0.9460421929906393, 0.9690427615089454, 0.9908625037018094, 1.011503938961484, 1.0309777208383306, 1.0493013142954195, 1.0665000007212442, 1.0826037500612917, 1.0976471104640324, 1.1116693964211437, 1.1247159116877499, 1.1368327513397882, 1.1480656858131932, 1.158460392137586, 1.168065736660265, 1.1769308766816393, 1.1851026573971393, 1.1926257562375284, 1.1995430398792493, 1.2058976720394903, 1.211730723903568, 1.2170806459191532, 1.221983360390085, 1.226472331300506, 1.2305801297840417, 1.2343372647644968, 1.2377718780135207, 1.240910095315872, 1.2437760264694173, 1.2463918797500644, 1.2487790241737602, 1.2509566854832053, 1.2529425296795256, 1.2547529267165713, 1.2564029505009158, 1.2579063788918559, 1.259275981209738, 1.260523726365082, 1.261660038831839, 1.2626945894686616, 1.2636363303686484, 1.2644934948593447, 1.2652735975027425, 1.2659834460417287, 1.2666294932298086, 1.2672174346313396, 1.2677523857695043, 1.2682390685222402, 1.2686818111222409, 1.2690845481569561, 1.269450820568591, 1.2697837756541068, 1.2700862045019183, 1.2703609690916307, 1.2706108908791494, 1.2708384730347517, 1.2710458955071287, 1.2712350150233842, 1.2714073650890352, 1.2715641559880113, 1.2717062747826557, 1.271834338553996, 1.2719498988006017, 1.2720549479807108, 1.2721510140350474, 1.2722392266325808, 1.2723203171705266, 1.2723946187743458, 1.2724620662977453, 1.2725221964372002, 1.2725754059248104, 1.2726235084487378, 1.2726676478856198, 1.2727086009146118, 1.2727467770173873, 1.2727822184781392, 1.2728146003835787, 1.2728432306229351, 1.2728678652578038, 1.272890345876536, 1.272910998340729, 1.272929938206031, 1.272947200664411, -1
2, 1, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 1.0470743707662793, 1.1257333089706538, 1.1707444015648178, 1.1941655969839977, 1.2040993713536032, 1.2058379415924374, 1.2027592608837852, 1.1970071346072575, 1.189914007669233, 1.182288627743219, 1.1746300777551848, 1.1672125259643398, 1.1601966940790092, 1.1536574524008345, 1.1476144617969464, 1.1420766042407786, 1.1370161008159658, 1.1324039047991803, 1.128216136305741, 1.1244144824287345, 1.120962773722539, 1.1178330318032406, 1.114999751048179, 1.112431632072398, 1.1101019755988044, 1.1079888139061775, 1.1060747792672354, 1.104341404264373, 1.1027693963485985, 1.1013424760158363, 1.1000467197414565, 1.0988705599802733, 1.0978047605300563, 1.0968392805775975, 1.0959631177692029, 1.0951671275368364, 1.0944433528875261, 1.0937850244033627, 1.0931865602414998, 1.0926435661341551, 1.092152685986176, 1.0917088340111403, 1.0913059271333372, 1.0909388801584337, 1.0906035606770312, 1.0902967890646658, 1.0900163384818082, 1.0897609348738644, 1.0895302569711742, 1.089324762626909, 1.0891413872594367, 1.088975038191389, 1.088822057802733, 1.0886800172218385, 1.0885477163254795, 1.0884251837388332, 1.0883136768354804, 1.0882156817374058, 1.0881326890712772, 1.0880594281038676, 1.0879919029511527, 1.087927569955562, 1.0878652514266132, 1.0878051356409117, 1.0877487768421512, 1.087699095241112, 1.0876601590379213, 1.087629923092954, 1.087602969258849, 1.0875761498212766, 1.087547820970359, 1.0875178428006698, 1.0874875793112329, 1.0874598984055237, 1.0874391718914689, 1.0874276745280516, 1.0874191029431215, 1.0874099193227433, 1.0873981723978516, 1.0873833949200387, 1.0873666036615541, 1.0873502994153055, 1.087338466994857, 1.087334647721263, 1.0873336380227114, 1.0873318983922224, 1.0873275793989146, 1.0873201267328314, 1.0873102812049422, 1.0873000787471416, 1.0872928504122505, 1.087292194032946, 1.0872944680797585, 1.0872961706976452, 1.087295431848862, 1.087291544145748, 1.0872849628507257, 1.0872773058763003, 1.0872713537850607, 1.0872707632899279, -1
2, 2, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 1.7595308466290678, 1.68315007756456, 1.6236770464515458, 1.5763296587233253, 1.5378424549704741, 1.505967869587361, 1.4791440781645786, 1.4562621706765255, 1.4365236081046822, 1.4193435467901534, 1.40427766767902, 1.3909902317450706, 1.3792137773004038, 1.3687363955656733, 1.359387626586137, 1.3510212030346738, 1.3435207266963016, 1.3367851686424168, 1.3307249818992433, 1.3252672308046032, 1.3203481293576333, 1.3159092882334973, 1.3118990419661947, 1.3082751223773197, 1.304999357000104, 1.3020363745147432, 1.2993536157687122, 1.2969228330915066, 1.2947209933948918, 1.2927267971443084, 1.2909202402142266, 1.2892826138881466, 1.2877965057067307, 1.2864467090891645, 1.2852216227308353, 1.2841106090302814, 1.2831034664125922, 1.282190429329408, 1.28136216825892, 1.2806097897058706, 1.279924899627576, 1.2793012245984272, 1.278734434645094, 1.2782202638784488, 1.2777544291825753, 1.277332630214769, 1.276950549405536, 1.2766038519585945, 1.276288185850874, 1.275999286085328, 1.2757352269170696, 1.2754951050114454, 1.2752775624182775, 1.275080996581387, 1.2749035603385939, 1.274743161921717, 1.2745974649565746, 1.2744638884629833, 1.2743403765631827, 1.2742273581620844, 1.274124929179387, 1.274032799057972, 1.273950320879258, 1.2738764913631995, 1.2738099508682883, 1.2737489833915525, 1.2736915858551021, 1.2736377711286377, 1.273588677781884, 1.2735447721366517, 1.2735060924109571, 1.2734722487190206, 1.2734424230712673, 1.2734153693743266, 1.2733894134310335, 1.2733635585318452, 1.2733394739288841, 1.2733180034830214, 1.2732995243274208, 1.2732839783237655, 1.2732708720622592, 1.2732592768616244, 1.2732478287691045, 1.2732353132667737, 1.2732231853722993, 1.2732124086602947, 1.2732034424701908, 1.2731963615443447, 1.273190856028041, 1.2731862314694908, 1.2731814088198328, 1.2731752351819137, 1.2731687532457923, 1.2731629703806646, 1.2731584046629545, 1.273155226475298, 1.2731532585065426, 1.2731519757517473, 1.2731505055121828, 1.2731477138611327, -1
3, 1, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 1.707103877245649, 1.4811810494732465, 1.3401498403468817, 1.2499223379897817, 1.1913611886284512, 1.1530558496463412, 1.127917098162558, 1.1114284282780906, 1.10066754867951, 1.0936946551596438, 1.0892446800004758, 1.0864608093382497, 1.0847834995930041, 1.0838259575858864, 1.0833465175761159, 1.0831635856172688, 1.0831757396425117, 1.083305652540683, 1.0834983433003413, 1.0837303568236136, 1.0839791811472803, 1.0842253712053407, 1.0844660280061686, 1.0846986467455482, 1.084917953191625, 1.0851192230434952, 1.0853054165857354, 1.0854784755973568, 1.085638836349025, 1.085785457719985, 1.0859173189707194, 1.0860372094091661, 1.0861470491967817, 1.0862480990770582, 1.0863410163534468, 1.0864258548893582, 1.0865020657140272, 1.0865696835665173, 1.0866305708128092, 1.0866862537630082, 1.0867378360431548, 1.0867859985952246, 1.0868309996771288, 1.086872674862713, 1.086910437041759, 1.086943276419983, 1.0869701383966142, 1.086992639556462, 1.0870132398081649, 1.0870336099193245, 1.0870546201185693, 1.0870763400955556, 1.0870980390009668, 1.0871181854465135, 1.087134447504934, 1.0871438576476735, 1.0871472797813664, 1.0871494967494568, 1.0871539956367189, 1.0871626895558375, 1.0871759176474065, 1.0871924450799304, 1.0872094630498232, 1.0872225887814089, 1.0872259439632774, 1.0872222242234262, 1.0872189467126996, 1.0872188327184158, 1.08722288760679, 1.0872304008229319, 1.0872389458908482, 1.0872443804134406, 1.087243337936793, 1.0872412029218401, 1.0872401984110924, 1.0872412364474822, 1.0872443424450815, 1.0872486551891025, 1.0872524268358976, 1.0872531086549053, 1.087251072952761, 1.0872488109834533, 1.0872477472517714, 1.087248619339865, 1.0872514779072444, 1.0872556866907814, 1.0872599225047075, 1.0872621752406162, 1.0872599731493746, 1.0872542436464232, 1.0872485267157779, 1.0872453354139806, 1.0872460300714721, 1.0872508182925924, 1.08725875495558, 1.0872677422125727, 1.0872745294896071, 1.0872747134866185, 1.087269836033209, 1.0872665809416362, -1
3, 2, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 1.0603214118956676, 1.1242384450247473, 1.1667671934878556, 1.1955405065679319, 1.2152811631225524, 1.2290065712830474, 1.2386859993624622, 1.2456197056046818, 1.2506719974992504, 1.2544288544264444, 1.257280226510258, 1.2594951352951727, 1.2612533994671744, 1.2626822476074393, 1.2638644674915802, 1.264863904912234, 1.2657194719848508, 1.266462086929891, 1.267115266710085, 1.267692380795574, 1.2682059815164997, 1.2686672005056157, 1.2690816677916958, 1.2694544765349924, 1.269791204935086, 1.2700969258370725, 1.2703740064190552, 1.2706248154336899, 1.2708519568061452, 1.2710582616886215, 1.2712463530663742, 1.2714174268238667, 1.27157269276226, 1.2717134455772319, 1.2718410504764848, 1.271956943179744, 1.2720626298214288, 1.2721593597503291, 1.2722475693561581, 1.272327649233573, 1.2724000807784608, 1.272465436187938, 1.27252437846035, 1.2725776613952724, 1.2726261295935102, 1.2726707184570978, 1.2727122958449464, 1.2727507286126978, 1.2727856280526488, 1.2728168316227448, 1.2728444028067332, 1.272868631114163, 1.2728900320803855, 1.2729093472665536, 1.2729275442596222, 1.2729457615261048, 1.2729639031371538, 1.2729806715512009, 1.2729951589249597, 1.2730069252064762, 1.2730159981351277, 1.2730228732416242, 1.2730285138480075, 1.2730343510676514, 1.2730422599847089, 1.2730515034159615, 1.2730598762167524, 1.2730666225717222, 1.2730714996368264, 1.273074777539337, 1.2730772393778402, 1.2730801812222385, 1.2730846609056343, 1.273089092520953, 1.2730928387023315, 1.2730956550891273, 1.2730975624656873, 1.2730988467613475, 1.2731000590504324, 1.2731019897337332, 1.273104546728812, 1.2731069957511298, 1.2731089225358374, 1.2731101189478933, 1.2731105829820657, 1.2731105187629308, 1.2731103365448737, 1.273110652712088, 1.273112221757395, 1.2731147720129916, 1.2731172437621028, 1.2731188862980451, 1.2731192957956847, 1.2731184153114359, 1.2731165347832625, 1.2731142910306765, 1.2731126677547395, 1.273112995538062, 1.2731148134948718, 1.273116111158564, -1
4, 1, 1, 1, 0, 0, 1.0, 0.2, 0.2, 0.5, 0.11135227165130364, 0.19723570984105854, 0.2718436031594221, 0.3368978177376677, 0.39398721223954203, 0.4445204797015816, 0.48969914156311145, 0.5305117232161399, 0.5677637790303919, 0.6020793640936314, 0.6339518941661252, 0.6637449266183186, 0.6917364393609943, 0.7181292244185679, 0.7430639903590739, 0.7666568874794294, 0.7889746894083786, 0.8100795049972547, 0.8300205756426219, 0.8488259244206755, 0.866535445617418, 0.8831859731255991, 0.8988015506484626, 0.9134189141822839, 0.9270831464085985, 0.9398252779202321, 0.9516812098362732, 0.9626979158656179, 0.9729226258187318, 0.9823902341848764, 0.9911406836569195, 0.9992206722278948, 1.0066781309834312, 1.0135475533549974, 1.0198643655291102, 1.0256674394039018, 1.0309988940959451, 1.0358945536542832, 1.0403816397156187, 1.0444888421153673, 1.048246272557957, 1.0516854631925054, 1.0548343322735652, 1.0577122206627234, 1.06033888694376, 1.0627345802652581, 1.064920040340605, 1.0669164199864467, 1.0687402779176625, 1.0704032780226926, 1.071917560028386, 1.0732954546459208, 1.0745494835708038, 1.0756923594828713, 1.0767362731825378, 1.0776883797319243, 1.0785548472069009, 1.0793421746592988, 1.0800570536901046, 1.0807063684494593, 1.081297195636659, 1.081836792524728, 1.0823303127099164, 1.082779923802531, 1.0831881810410207, 1.0835579770369053, 1.0838925417747756, 1.0841954426122937, 1.0844705842801927, 1.0847222088822763, 1.0849544588217352, 1.0851680062979514, 1.085362263699576, 1.085537325364802, 1.085693968023408, 1.0858336507967588, 1.085958515197805, 1.0860713851310837, 1.086175766892717, 1.086275609304354, 1.0863700395221678, 1.086456121029499, 1.0865324466255843, 1.0865987107267256, 1.0866557093662883, 1.0867053401947022, 1.0867506024794613, 1.0867955971051242, 1.086842026997594, 1.086885579174802, 1.0869239303631208, 1.0869559323546842, 1.086981600770539, 1.0870021150606466, 1.0870198185038809, 1.0870382182080298, 1.0870602251279826, 1.0870803589268014, 1.0870979989462484, 1.087113630709989, -1
