ID; partition; Off.size.vector; Parent.size; Off.num; Cost.allowed
0; 1, 1; 2, 0; 2; 2; 1
1; 2, 1; 1, 1; 3; 2; 1
2; 1, 1, 1; 3, 0; 3; 3; 1
3; 3, 1; 1, 0, 1; 4; 2; 1
4; 2, 2; 0, 2; 4; 2; 1
5; 2, 1, 1; 2, 1; 4; 3; 0
6; 1, 1, 1, 1; 4, 0; 4; 4; 1
7; 4, 1; 1, 0, 0, 1; 5; 2; 1
8; 3, 2; 0, 1, 1; 5; 2; 1
9; 3, 1, 1; 2, 0, 1; 5; 3; 1
10; 2, 2, 1; 1, 2; 5; 3; 1
11; 2, 1, 1, 1; 3, 1; 5; 4; 0
12; 1, 1, 1, 1, 1; 5, 0; 5; 5; 1
13; 5, 1; 1, 0, 0, 0, 1; 6; 2; 1
14; 4, 2; 0, 1, 0, 1; 6; 2; 1
15; 4, 1, 1; 2, 0, 0, 1; 6; 3; 1
16; 3, 3; 0, 0, 2; 6; 2; 1
17; 3, 2, 1; 1, 1, 1; 6; 3; 0
18; 3, 1, 1, 1; 3, 0, 1; 6; 4; 0
19; 2, 2, 2; 0, 3; 6; 3; 1
20; 2, 2, 1, 1; 2, 2; 6; 4; 0
21; 2, 1, 1, 1, 1; 4, 1; 6; 5; 0
22; 1, 1, 1, 1, 1, 1; 6, 0; 6; 6; 1
23; 6, 1; 1, 0, 0, 0, 0, 1; 7; 2; 1
24; 5, 2; 0, 1, 0, 0, 1; 7; 2; 1
25; 5, 1, 1; 2, 0, 0, 0, 1; 7; 3; 1
26; 4, 3; 0, 0, 1, 1; 7; 2; 1
27; 4, 2, 1; 1, 1, 0, 1; 7; 3; 1
28; 4, 1, 1, 1; 3, 0, 0, 1; 7; 4; 1
29; 3, 3, 1; 1, 0, 2; 7; 3; 1
30; 3, 2, 2; 0, 2, 1; 7; 3; 1
31; 3, 2, 1, 1; 2, 1, 1; 7; 4; 0
32; 3, 1, 1, 1, 1; 4, 0, 1; 7; 5; 0
33; 2, 2, 2, 1; 1, 3; 7; 4; 1
34; 2, 2, 1, 1, 1; 3, 2; 7; 5; 0
35; 2, 1, 1, 1, 1, 1; 5, 1; 7; 6; 0
36; 1, 1, 1, 1, 1, 1, 1; 7, 0; 7; 7; 1
37; 7, 1; 1, 0, 0, 0, 0, 0, 1; 8; 2; 1
38; 6, 2; 0, 1, 0, 0, 0, 1; 8; 2; 1
39; 6, 1, 1; 2, 0, 0, 0, 0, 1; 8; 3; 1
40; 5, 3; 0, 0, 1, 0, 1; 8; 2; 1
41; 5, 2, 1; 1, 1, 0, 0, 1; 8; 3; 1
42; 5, 1, 1, 1; 3, 0, 0, 0, 1; 8; 4; 1
43; 4, 4; 0, 0, 0, 2; 8; 2; 1
44; 4, 3, 1; 1, 0, 1, 1; 8; 3; 0
45; 4, 2, 2; 0, 2, 0, 1; 8; 3; 0
46; 4, 2, 1, 1; 2, 1, 0, 1; 8; 4; 0
47; 4, 1, 1, 1, 1; 4, 0, 0, 1; 8; 5; 0
48; 3, 3, 2; 0, 1, 2; 8; 3; 1
49; 3, 3, 1, 1; 2, 0, 2; 8; 4; 1
50; 3, 2, 2, 1; 1, 2, 1; 8; 4; 0
51; 3, 2, 1, 1, 1; 3, 1, 1; 8; 5; 0
52; 3, 1, 1, 1, 1, 1; 5, 0, 1; 8; 6; 0
53; 2, 2, 2, 2; 0, 4; 8; 4; 1
54; 2, 2, 2, 1, 1; 2, 3; 8; 5; 0
55; 2, 2, 1, 1, 1, 1; 4, 2; 8; 6; 0
56; 2, 1, 1, 1, 1, 1, 1; 6, 1; 8; 7; 0
57; 1, 1, 1, 1, 1, 1, 1, 1; 8, 0; 8; 8; 1
58; 8, 1; 1, 0, 0, 0, 0, 0, 0, 1; 9; 2; 1
59; 7, 2; 0, 1, 0, 0, 0, 0, 1; 9; 2; 1
60; 7, 1, 1; 2, 0, 0, 0, 0, 0, 1; 9; 3; 1
61; 6, 3; 0, 0, 1, 0, 0, 1; 9; 2; 1
62; 6, 2, 1; 1, 1, 0, 0, 0, 1; 9; 3; 1
63; 6, 1, 1, 1; 3, 0, 0, 0, 0, 1; 9; 4; 1
64; 5, 4; 0, 0, 0, 1, 1; 9; 2; 1
65; 5, 3, 1; 1, 0, 1, 0, 1; 9; 3; 1
66; 5, 2, 2; 0, 2, 0, 0, 1; 9; 3; 1
67; 5, 2, 1, 1; 2, 1, 0, 0, 1; 9; 4; 0
68; 5, 1, 1, 1, 1; 4, 0, 0, 0, 1; 9; 5; 1
69; 4, 4, 1; 1, 0, 0, 2; 9; 3; 1
70; 4, 3, 2; 0, 1, 1, 1; 9; 3; 1
71; 4, 3, 1, 1; 2, 0, 1, 1; 9; 4; 0
72; 4, 2, 2, 1; 1, 2, 0, 1; 9; 4; 0
73; 4, 2, 1, 1, 1; 3, 1, 0, 1; 9; 5; 0
74; 4, 1, 1, 1, 1, 1; 5, 0, 0, 1; 9; 6; 0
75; 3, 3, 3; 0, 0, 3; 9; 3; 1
76; 3, 3, 2, 1; 1, 1, 2; 9; 4; 0
77; 3, 3, 1, 1, 1; 3, 0, 2; 9; 5; 0
78; 3, 2, 2, 2; 0, 3, 1; 9; 4; 1
79; 3, 2, 2, 1, 1; 2, 2, 1; 9; 5; 0
80; 3, 2, 1, 1, 1, 1; 4, 1, 1; 9; 6; 0
81; 3, 1, 1, 1, 1, 1, 1; 6, 0, 1; 9; 7; 0
82; 2, 2, 2, 2, 1; 1, 4; 9; 5; 1
83; 2, 2, 2, 1, 1, 1; 3, 3; 9; 6; 0
84; 2, 2, 1, 1, 1, 1, 1; 5, 2; 9; 7; 0
85; 2, 1, 1, 1, 1, 1, 1, 1; 7, 1; 9; 8; 0
86; 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 0; 9; 9; 1
87; 9, 1; 1, 0, 0, 0, 0, 0, 0, 0, 1; 10; 2; 1
88; 8, 2; 0, 1, 0, 0, 0, 0, 0, 1; 10; 2; 1
89; 8, 1, 1; 2, 0, 0, 0, 0, 0, 0, 1; 10; 3; 1
90; 7, 3; 0, 0, 1, 0, 0, 0, 1; 10; 2; 1
91; 7, 2, 1; 1, 1, 0, 0, 0, 0, 1; 10; 3; 1
92; 7, 1, 1, 1; 3, 0, 0, 0, 0, 0, 1; 10; 4; 1
93; 6, 4; 0, 0, 0, 1, 0, 1; 10; 2; 1
94; 6, 3, 1; 1, 0, 1, 0, 0, 1; 10; 3; 1
95; 6, 2, 2; 0, 2, 0, 0, 0, 1; 10; 3; 1
96; 6, 2, 1, 1; 2, 1, 0, 0, 0, 1; 10; 4; 0
97; 6, 1, 1, 1, 1; 4, 0, 0, 0, 0, 1; 10; 5; 1
98; 5, 5; 0, 0, 0, 0, 2; 10; 2; 1
99; 5, 4, 1; 1, 0, 0, 1, 1; 10; 3; 0
100; 5, 3, 2; 0, 1, 1, 0, 1; 10; 3; 0
101; 5, 3, 1, 1; 2, 0, 1, 0, 1; 10; 4; 0
102; 5, 2, 2, 1; 1, 2, 0, 0, 1; 10; 4; 0
103; 5, 2, 1, 1, 1; 3, 1, 0, 0, 1; 10; 5; 0
104; 5, 1, 1, 1, 1, 1; 5, 0, 0, 0, 1; 10; 6; 0
105; 4, 4, 2; 0, 1, 0, 2; 10; 3; 1
106; 4, 4, 1, 1; 2, 0, 0, 2; 10; 4; 1
107; 4, 3, 3; 0, 0, 2, 1; 10; 3; 1
108; 4, 3, 2, 1; 1, 1, 1, 1; 10; 4; 0
109; 4, 3, 1, 1, 1; 3, 0, 1, 1; 10; 5; 0
110; 4, 2, 2, 2; 0, 3, 0, 1; 10; 4; 0
111; 4, 2, 2, 1, 1; 2, 2, 0, 1; 10; 5; 0
112; 4, 2, 1, 1, 1, 1; 4, 1, 0, 1; 10; 6; 0
113; 4, 1, 1, 1, 1, 1, 1; 6, 0, 0, 1; 10; 7; 0
114; 3, 3, 3, 1; 1, 0, 3; 10; 4; 1
115; 3, 3, 2, 2; 0, 2, 2; 10; 4; 1
116; 3, 3, 2, 1, 1; 2, 1, 2; 10; 5; 0
117; 3, 3, 1, 1, 1, 1; 4, 0, 2; 10; 6; 0
118; 3, 2, 2, 2, 1; 1, 3, 1; 10; 5; 0
119; 3, 2, 2, 1, 1, 1; 3, 2, 1; 10; 6; 0
120; 3, 2, 1, 1, 1, 1, 1; 5, 1, 1; 10; 7; 0
121; 3, 1, 1, 1, 1, 1, 1, 1; 7, 0, 1; 10; 8; 0
122; 2, 2, 2, 2, 2; 0, 5; 10; 5; 1
123; 2, 2, 2, 2, 1, 1; 2, 4; 10; 6; 0
124; 2, 2, 2, 1, 1, 1, 1; 4, 3; 10; 7; 0
125; 2, 2, 1, 1, 1, 1, 1, 1; 6, 2; 10; 8; 0
126; 2, 1, 1, 1, 1, 1, 1, 1, 1; 8, 1; 10; 9; 0
127; 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 10, 0; 10; 10; 1
128; 10, 1; 1, 0, 0, 0, 0, 0, 0, 0, 0, 1; 11; 2; 1
129; 9, 2; 0, 1, 0, 0, 0, 0, 0, 0, 1; 11; 2; 1
130; 9, 1, 1; 2, 0, 0, 0, 0, 0, 0, 0, 1; 11; 3; 1
131; 8, 3; 0, 0, 1, 0, 0, 0, 0, 1; 11; 2; 1
132; 8, 2, 1; 1, 1, 0, 0, 0, 0, 0, 1; 11; 3; 1
133; 8, 1, 1, 1; 3, 0, 0, 0, 0, 0, 0, 1; 11; 4; 1
134; 7, 4; 0, 0, 0, 1, 0, 0, 1; 11; 2; 1
135; 7, 3, 1; 1, 0, 1, 0, 0, 0, 1; 11; 3; 1
136; 7, 2, 2; 0, 2, 0, 0, 0, 0, 1; 11; 3; 1
